	Survey End Date	CON (%)	LAB (%)	LD (%)	UKIP (%)	Grn (%)	Con Lead
Opinium/	2015-09-18	37	32	6	14	4	5
ComRes/Independent on Sunday (O)	2015-09-17	42	30	7	13	3	12
ICM/Guardian	2015-09-13	38	32	8	13	3	6
Survation/Mail on Sunday	2015-09-04	38	32	6	13	4	6
ComRes/Daily Mail	2015-08-23	42	28	8	9	6	14
Survation/TSSA	2015-08-13	38	33	6	15	3	5
ComRes/Independent on Sunday (O)	2015-08-13	40	29	8	13	4	11
ICM/Guardian	2015-08-09	40	31	7	10	4	9
ComRes/Daily Mail	2015-07-26	40	28	7	10	5	12
Ipsos-MORI/Evening Standard	2015-07-20	37	31	10	9	8	6
ICM/Guardian	2015-07-12	38	34	6	13	4	4
ComRes/Daily Mail	2015-06-28	39	27	9	11	6	12
Ipsos-MORI/Evening Standard	2015-06-16	39	30	9	8	6	9
ICM/Guardian	2015-06-14	37	31	8	13	5	6
ComRes/Daily Mail	2015-05-31	41	29	8	10	5	12
YouGov/Sun	2015-05-26	41	30	7	13	4	11
Survation/Mail on Sunday	2015-05-09	40	31	6	12	3	9
YouGov/Sun	2015-05-06	34	34	10	12	4	0
ICM/Guardian	2015-05-06	34	35	9	11	4	-1
ComRes/Daily Mail	2015-05-06	35	34	9	12	4	1
Survation/Mirror	2015-05-06	31	31	10	16	5	0
Panelbase/	2015-05-06	31	33	8	16	5	-2
Ashcroft/	2015-05-06	33	33	10	11	6	0
Populus/	2015-05-06	34	34	9	13	5	0
Ipsos-MORI/Evening Standard	2015-05-06	36	35	8	11	5	1
BMG/M2015	2015-05-05	34	34	10	12	4	0
ComRes/Daily Mail	2015-05-05	35	32	9	14	4	3
YouGov/Sun	2015-05-05	34	34	9	12	5	0
Opinium/	2015-05-05	35	34	8	12	6	1
Survation/Mirror	2015-05-05	33	34	9	16	4	-1
YouGov/Sun	2015-05-04	33	33	10	12	5	0
YouGov/Sun	2015-05-03	34	33	9	12	5	1
Ashcroft/	2015-05-03	32	30	11	12	7	2
Populus/	2015-05-03	34	34	10	13	5	0
YouGov/Sunday Times	2015-05-02	34	33	8	13	5	1
Survation/Mail on Sunday	2015-05-02	31	34	8	17	4	-3
Survation/Mirror	2015-05-01	33	34	9	16	3	-1
YouGov/Sun	2015-05-01	33	34	8	14	5	-1
YouGov/Sun	2015-04-30	34	35	8	12	5	-1
Populus/	2015-04-30	33	33	9	15	4	0
Panelbase/	2015-04-30	32	34	8	17	4	-2
YouGov/Sun on Sunday	2015-04-30	34	35	9	12	5	-1
Ipsos-MORI/Evening Standard	2015-04-29	35	30	8	10	8	5
YouGov/Sun	2015-04-29	35	34	9	12	4	1
ComRes/ITV/Mail	2015-04-28	35	35	7	11	6	0
YouGov/Sun	2015-04-28	34	35	9	12	4	-1
TNS BMRB/	2015-04-27	34	33	7	15	5	1
BMG/M2015	2015-04-27	35	32	11	14	3	3
YouGov/Sun	2015-04-27	35	34	9	12	5	1
Ashcroft/	2015-04-26	36	30	9	11	7	6
Populus/	2015-04-26	33	36	8	14	5	-3
ICM/Guardian	2015-04-26	35	32	9	13	5	3
YouGov/Sun	2015-04-26	33	34	8	14	5	-1
YouGov/Sunday Times	2015-04-25	32	34	9	14	6	-2
Survation/Mail on Sunday	2015-04-25	33	30	9	18	4	3
YouGov/Sun	2015-04-24	33	35	8	13	6	-2
Opinium/Observer	2015-04-24	34	33	9	13	6	1
Survation/Mirror	2015-04-23	33	29	10	18	4	4
Panelbase/	2015-04-23	31	34	7	17	4	-3
YouGov/Sun	2015-04-23	33	35	8	13	6	-2
Populus/	2015-04-23	32	35	8	14	5	-3
ComRes/ITV/Mail	2015-04-22	36	32	8	10	5	4
YouGov/Sun	2015-04-22	33	34	7	14	5	-1
YouGov/Sun	2015-04-21	35	34	7	13	5	1
YouGov/Sun	2015-04-20	34	35	7	13	5	-1
TNS BMRB/	2015-04-20	32	34	8	15	5	-2
ICM/Guardian	2015-04-19	34	32	10	11	5	2
Populus/	2015-04-19	32	34	9	15	4	-2
Ashcroft/	2015-04-19	34	30	10	13	4	4
YouGov/Sun	2015-04-19	34	35	8	13	5	-1
YouGov/Sunday Times	2015-04-18	33	36	8	13	5	-3
Opinium/Observer	2015-04-17	36	32	8	13	5	4
YouGov/Sun	2015-04-17	34	34	9	14	5	0
Survation/Mirror	2015-04-17	34	33	7	17	3	1
Populus/	2015-04-16	33	34	9	14	4	-1
YouGov/Sun	2015-04-16	34	34	7	14	5	0
Panelbase/	2015-04-16	33	34	8	16	4	-1
Ipsos-MORI/Evening Standard	2015-04-15	33	35	7	10	8	-2
YouGov/Sun	2015-04-15	34	35	8	13	5	-1
YouGov/Sun	2015-04-14	33	35	8	13	5	-2
TNS BMRB/	2015-04-13	34	32	9	14	5	2
YouGov/Sun	2015-04-13	33	34	8	13	6	-1
Populus/	2015-04-12	33	33	8	15	5	0
ICM/Guardian	2015-04-12	39	33	8	7	7	6
Ashcroft/	2015-04-12	33	33	9	13	6	0
YouGov/Sun	2015-04-12	33	36	7	13	5	-3
YouGov/Sunday Times	2015-04-11	34	34	7	13	6	0
YouGov/Sun	2015-04-10	33	35	8	13	5	-2
Survation/Mirror	2015-04-09	31	35	9	15	4	-4
Opinium/Observer	2015-04-09	36	34	7	11	6	2
Panelbase/	2015-04-09	31	37	8	16	4	-6
YouGov/Sun	2015-04-09	35	34	8	12	4	1
Populus/	2015-04-09	31	33	8	16	6	-2
YouGov/Sun	2015-04-08	34	35	8	13	5	-1
ComRes/ITV/Mail	2015-04-08	34	33	12	12	4	1
TNS BMRB/	2015-04-07	30	33	8	19	4	-3
YouGov/Sun	2015-04-07	33	35	8	14	5	-2
Populus/	2015-04-06	31	33	10	15	4	-2
YouGov/Sunday Times	2015-04-04	34	33	10	13	4	1
Opinium/Observer	2015-04-03	33	33	7	14	7	0
Survation/Mirror	2015-04-03	31	33	9	18	3	-2
Panelbase/	2015-04-02	33	33	7	17	5	0
YouGov/Sun	2015-04-02	37	35	7	12	5	2
YouGov/Sun	2015-04-01	36	34	8	13	4	2
Populus/	2015-04-01	32	34	9	15	5	-2
YouGov/Sun	2015-03-31	35	36	7	12	5	-1
YouGov/Sun	2015-03-30	35	35	8	12	5	0
TNS BMRB/	2015-03-30	33	32	8	16	5	1
Populus/	2015-03-29	34	34	8	15	4	0
Ashcroft/	2015-03-29	36	34	6	10	7	2
ComRes/ITV/Mail	2015-03-29	36	32	9	12	5	4
YouGov/Sunday Times	2015-03-28	32	36	8	13	6	-4
Populus/	2015-03-26	31	33	9	16	5	-2
YouGov/Sun	2015-03-26	36	34	7	13	5	2
Panelbase/	2015-03-26	34	34	5	15	6	0
Opinium/Observer	2015-03-25	34	33	8	13	7	1
YouGov/Sun	2015-03-25	34	35	8	12	6	-1
Survation/Daily Mirror	2015-03-25	32	33	8	18	4	-1
YouGov/Sun	2015-03-24	35	35	8	12	6	0
YouGov/Sun	2015-03-23	34	34	8	12	6	0
YouGov/Times	2015-03-23	34	33	8	14	5	1
ComRes/Daily Mail	2015-03-22	35	35	8	10	7	0
Ashcroft/	2015-03-22	33	33	8	12	5	0
Populus/	2015-03-22	31	33	9	16	5	-2
Survation/Mail on Sunday	2015-03-21	30	34	10	17	3	-4
YouGov/Sunday Times	2015-03-20	33	35	8	14	5	-2
Opinium/Observer	2015-03-19	36	33	7	14	6	3
Populus/	2015-03-19	31	34	9	17	5	-3
YouGov/Sun	2015-03-19	35	33	8	13	6	2
YouGov/Sun	2015-03-18	33	34	8	14	6	-1
YouGov/Sun	2015-03-17	34	36	7	12	6	-2
TNS BMRB/	2015-03-16	33	32	7	17	4	1
YouGov/Sun	2015-03-16	33	35	7	13	7	-2
Ashcroft/	2015-03-15	31	29	8	15	8	2
Populus/	2015-03-15	34	34	8	14	5	0
ICM/Guardian	2015-03-15	36	35	8	9	4	1
ComRes/Independent on Sunday (O)	2015-03-13	33	35	7	16	4	-2
YouGov/Sunday Times	2015-03-13	34	34	7	14	5	0
Opinium/Observer	2015-03-12	33	35	7	14	7	-2
Populus/	2015-03-12	29	32	8	18	6	-3
YouGov/Sun	2015-03-12	33	32	7	16	6	1
Ipsos-MORI/Evening Standard	2015-03-11	33	34	8	13	6	-1
YouGov/Sun	2015-03-11	34	35	7	14	5	-1
YouGov/Sun	2015-03-10	33	31	8	15	6	2
YouGov/Sun	2015-03-09	35	31	8	14	6	4
Ashcroft/	2015-03-08	34	30	5	15	8	4
Populus/	2015-03-08	32	33	9	15	6	-1
Opinium/Observer	2015-03-06	34	34	8	14	7	0
YouGov/Sunday Times	2015-03-06	34	33	8	15	5	1
Populus/	2015-03-05	31	33	8	16	5	-2
YouGov/Sun	2015-03-05	31	35	6	15	8	-4
YouGov/Sun	2015-03-04	34	34	8	14	6	0
YouGov/Sun	2015-03-03	36	34	5	14	6	2
YouGov/Sun	2015-03-02	35	32	7	15	6	3
Ashcroft/	2015-03-01	34	31	7	14	7	3
Populus/	2015-03-01	32	34	8	14	5	-2
YouGov/Sunday Times	2015-02-27	34	34	8	14	5	0
Populus/	2015-02-27	31	33	9	16	6	-2
Opinium/Observer	2015-02-26	34	35	6	14	6	-1
YouGov/Sun	2015-02-26	33	34	8	13	6	-1
YouGov/Sun	2015-02-25	33	33	8	15	6	0
YouGov/Sun	2015-02-24	35	33	6	14	7	2
YouGov/Sun	2015-02-23	33	33	8	13	7	0
ComRes/Mail	2015-02-23	34	32	8	13	8	2
Survation/Mirror	2015-02-23	28	34	10	19	4	-6
Ashcroft/	2015-02-22	32	36	7	11	8	-4
Populus/	2015-02-22	32	32	9	15	6	0
Opinium/Observer	2015-02-20	35	33	6	15	7	2
YouGov/Sunday Times	2015-02-20	33	34	8	13	6	-1
Populus/	2015-02-19	31	32	9	17	6	-1
YouGov/Sun	2015-02-19	32	33	9	15	6	-1
YouGov/Sun	2015-02-18	32	34	8	14	6	-2
YouGov/Sun	2015-02-17	33	34	6	15	7	-1
YouGov/Sun	2015-02-16	32	32	6	16	8	0
TNS BMRB/	2015-02-16	28	35	6	18	7	-7
Ashcroft/	2015-02-15	30	31	9	16	8	-1
ICM/Guardian	2015-02-15	36	32	10	9	7	4
Populus/	2015-02-14	31	33	10	15	5	-2
YouGov/Sunday Times	2015-02-13	32	35	7	15	7	-3
Populus/	2015-02-12	31	34	9	14	6	-3
ComRes/Independent on Sunday (O)	2015-02-12	32	34	7	16	4	-2
Opinium/Observer	2015-02-12	33	35	8	14	6	-2
YouGov/Sun	2015-02-12	31	34	7	15	7	-3
YouGov/Sun	2015-02-11	32	33	7	15	7	-1
Ipsos-MORI/Evening Standard	2015-02-10	34	36	6	9	7	-2
YouGov/Sun	2015-02-10	33	35	6	13	8	-2
YouGov/Sun	2015-02-09	34	33	7	14	7	1
Populus/	2015-02-08	33	34	8	15	4	-1
Ashcroft/	2015-02-08	34	31	9	14	6	3
Opinium/Observer	2015-02-06	32	34	7	15	8	-2
YouGov/Sunday Times	2015-02-06	32	33	7	15	8	-1
Populus/	2015-02-05	31	34	8	16	5	-3
YouGov/Sun	2015-02-05	32	33	9	15	5	-1
YouGov/Sun	2015-02-04	34	33	6	13	7	1
YouGov/Sun	2015-02-03	33	33	7	14	7	0
YouGov/Sun	2015-02-02	33	35	7	14	6	-2
Populus/	2015-02-02	31	34	8	14	5	-3
TNS BMRB/	2015-02-02	27	33	6	18	8	-6
Ashcroft/	2015-02-01	31	31	8	15	9	0
YouGov/Sunday Times	2015-01-30	32	35	7	15	6	-3
Opinium/Observer	2015-01-30	32	33	5	18	6	-1
Populus/	2015-01-29	34	35	10	14	4	-1
YouGov/Sun	2015-01-29	34	34	6	14	7	0
YouGov/Sun	2015-01-28	33	33	6	16	7	0
YouGov/Sun	2015-01-27	34	33	7	14	7	1
YouGov/Sun	2015-01-26	34	33	6	15	7	1
ComRes/Independent	2015-01-25	31	30	8	17	7	1
Ashcroft/	2015-01-25	32	32	6	15	9	0
Populus/	2015-01-25	34	35	9	13	6	-1
Survation/Mirror	2015-01-25	31	30	7	23	3	1
YouGov/Sunday Times	2015-01-23	32	32	7	15	7	0
Populus/	2015-01-22	32	36	9	13	6	-4
YouGov/Sun	2015-01-22	31	33	7	17	8	-2
YouGov/Sun	2015-01-21	33	34	6	14	8	-1
YouGov/Sun	2015-01-20	32	30	8	15	10	2
ICM/Guardian	2015-01-19	30	33	11	11	9	-3
YouGov/Sun	2015-01-19	32	32	8	15	7	0
TNS BMRB/	2015-01-19	31	31	8	16	7	0
Populus/	2015-01-18	35	36	8	13	4	-1
Ashcroft/	2015-01-18	29	28	9	15	11	1
Opinium/Observer	2015-01-16	28	33	7	20	6	-5
YouGov/Sunday Times	2015-01-16	31	32	7	18	7	-1
Populus/	2015-01-15	32	35	9	14	6	-3
YouGov/Sun on Sunday	2015-01-15	31	33	7	16	7	-2
ComRes/Independent on Sunday (O)	2015-01-15	33	34	7	18	3	-1
YouGov/Sun	2015-01-15	32	32	6	16	8	0
YouGov/Sun	2015-01-14	32	34	6	15	7	-2
YouGov/Sun	2015-01-13	32	33	7	14	7	-1
Ipsos-MORI/Evening Standard	2015-01-13	33	34	8	11	8	-1
YouGov/Sun	2015-01-12	32	33	6	17	6	-1
Populus/	2015-01-11	32	37	10	13	4	-5
Ashcroft/	2015-01-11	34	28	8	16	8	6
YouGov/Sunday Times	2015-01-09	32	32	7	18	6	0
TNS BMRB/	2015-01-08	28	35	6	18	5	-7
Populus/	2015-01-08	33	34	8	14	6	-1
YouGov/Sun	2015-01-08	33	33	8	13	7	0
YouGov/Sun	2015-01-07	32	33	7	15	7	-1
YouGov/Sun	2015-01-06	33	33	7	13	8	0
YouGov/Sun	2015-01-05	31	34	7	14	8	-3
Populus/	2015-01-04	34	35	9	12	5	-1
Opinium/Observer	2015-01-02	32	33	8	17	4	-1
YouGov/Sun	2014-12-22	32	36	6	16	5	-4
Populus/	2014-12-21	35	35	9	12	4	0
Survation/	2014-12-19	30	33	11	20	3	-3
Opinium/Observer	2014-12-19	29	36	6	16	5	-7
YouGov/Sunday Times	2014-12-19	32	34	6	15	8	-2
Populus/	2014-12-18	34	35	9	13	4	-1
YouGov/Sun	2014-12-18	30	35	6	16	8	-5
YouGov/Sun	2014-12-17	33	33	8	14	7	0
ICM/Guardian	2014-12-16	28	33	14	15	5	-5
YouGov/Sun	2014-12-16	33	34	6	16	6	-1
Ipsos-MORI/Evening Standard	2014-12-15	32	29	9	13	9	3
YouGov/Sun	2014-12-15	32	34	6	14	8	-2
TNS BMRB/	2014-12-15	28	35	5	19	7	-7
Populus/	2014-12-14	34	36	10	12	5	-2
ComRes/Independent	2014-12-14	29	32	12	16	5	-3
ComRes/Independent on Sunday (O)	2014-12-12	33	34	8	18	2	-1
YouGov/Sunday Times	2014-12-12	32	32	7	16	7	0
Populus/	2014-12-11	34	35	9	14	4	-1
YouGov/Sun	2014-12-11	32	34	7	14	7	-2
YouGov/Sun	2014-12-10	33	33	6	15	7	0
YouGov/Sun	2014-12-09	32	32	8	15	7	0
YouGov/Sun	2014-12-08	34	33	6	15	6	1
Populus/	2014-12-07	33	36	8	15	4	-3
Ashcroft/	2014-12-07	30	31	8	19	5	-1
YouGov/Sunday Times	2014-12-05	32	32	6	17	7	0
Populus/	2014-12-04	33	35	9	14	4	-2
YouGov/Sun	2014-12-04	31	32	7	15	8	-1
Opinium/Observer	2014-12-04	29	34	6	19	6	-5
YouGov/Sun	2014-12-03	32	31	6	17	7	1
YouGov/Sun	2014-12-02	32	33	7	16	7	-1
YouGov/Sun	2014-12-01	32	32	8	15	6	0
Populus/	2014-11-30	32	35	9	14	5	-3
Ashcroft/	2014-11-30	30	32	7	16	6	-2
ComRes/Independent	2014-11-30	28	31	9	18	7	-3
YouGov/Sunday Times	2014-11-28	32	34	7	15	6	-2
Populus/	2014-11-27	32	37	9	14	4	-5
YouGov/Sun	2014-11-27	31	31	8	17	6	0
TNS BMRB/	2014-11-27	30	31	6	19	6	-1
YouGov/Sun	2014-11-26	33	32	6	16	7	1
YouGov/Sun	2014-11-25	32	33	7	16	6	-1
YouGov/Sun	2014-11-24	30	34	6	18	6	-4
Populus/	2014-11-23	31	36	9	15	5	-5
Ashcroft/	2014-11-23	27	32	7	18	7	-5
YouGov/Sunday Times	2014-11-21	33	33	7	16	6	0
Opinium/Observer	2014-11-20	30	33	7	19	4	-3
Populus/	2014-11-20	33	36	9	14	4	-3
YouGov/Sun	2014-11-20	34	33	7	15	6	1
YouGov/Sun	2014-11-19	34	33	7	14	6	1
YouGov/Sun	2014-11-18	32	34	7	15	6	-2
YouGov/Sun	2014-11-17	33	32	7	15	8	1
Populus/	2014-11-16	35	36	7	11	5	-1
Ashcroft/	2014-11-16	29	30	9	16	7	-1
ComRes/Independent on Sunday (O)	2014-11-14	30	34	8	19	3	-4
YouGov/Sunday Times	2014-11-14	31	33	7	18	5	-2
Populus/	2014-11-13	33	35	9	13	4	-2
YouGov/Sun	2014-11-13	33	32	8	15	6	1
YouGov/Sun	2014-11-12	32	35	7	15	6	-3
YouGov/Sun	2014-11-11	33	34	7	15	6	-1
YouGov/Sun	2014-11-10	32	33	6	17	6	-1
Ipsos-MORI/Evening Standard	2014-11-10	32	29	9	14	7	3
Ashcroft/	2014-11-09	30	29	10	16	7	1
ICM/Guardian	2014-11-09	31	32	11	14	6	-1
Populus/	2014-11-09	34	36	8	13	4	-2
Opinium/Observer	2014-11-07	29	32	9	19	4	-3
YouGov/Sunday Times	2014-11-07	33	33	7	16	6	0
Survation/Mail on Sunday	2014-11-07	29	34	6	23	4	-5
Populus/	2014-11-06	33	35	9	14	4	-2
YouGov/Sun	2014-11-06	32	33	8	15	7	-1
YouGov/Sun	2014-11-05	32	33	7	17	7	-1
YouGov/Sun	2014-11-04	32	34	7	15	6	-2
YouGov/Sun	2014-11-03	33	34	8	15	5	-1
Populus/	2014-11-02	34	35	9	13	4	-1
Ashcroft/	2014-11-02	29	30	9	17	6	-1
Survation/Mirror	2014-11-01	27	31	9	24	3	-4
YouGov/Sunday Times	2014-10-31	31	32	7	18	6	-1
Populus/	2014-10-30	34	34	8	15	5	0
YouGov/Sun	2014-10-30	33	32	7	15	7	1
YouGov/Sun	2014-10-29	31	34	6	17	7	-3
YouGov/Sun	2014-10-28	32	33	8	17	5	-1
YouGov/Sun	2014-10-27	32	32	8	18	6	0
Populus/	2014-10-26	34	36	8	13	3	-2
ComRes/Independent	2014-10-26	30	30	9	19	4	0
Ashcroft/	2014-10-26	31	31	7	18	5	0
Opinium/Observer	2014-10-24	33	33	6	18	4	0
YouGov/Sunday Times	2014-10-24	33	33	7	16	6	0
Populus/	2014-10-23	33	35	9	15	3	-2
YouGov/Sun	2014-10-23	34	34	6	15	6	0
YouGov/Sun	2014-10-22	31	33	7	17	6	-2
YouGov/Sun	2014-10-21	32	33	8	16	5	-1
YouGov/Sun	2014-10-20	31	33	7	15	6	-2
Populus/	2014-10-19	34	36	9	13	3	-2
Ashcroft/	2014-10-19	28	31	7	18	8	-3
YouGov/Sunday Times	2014-10-17	32	35	7	16	5	-3
ComRes/Independent on Sunday (O)	2014-10-16	31	34	7	19	4	-3
Populus/	2014-10-16	33	35	10	14	4	-2
YouGov/Sun	2014-10-16	31	32	8	18	7	-1
YouGov/Sun	2014-10-15	31	33	7	19	5	-2
Ipsos-MORI/Evening Standard	2014-10-14	30	33	8	16	5	-3
YouGov/Sun	2014-10-14	30	34	8	18	5	-4
YouGov/Sun	2014-10-13	31	34	7	17	4	-3
ICM/Guardian	2014-10-12	31	35	11	14	4	-4
Populus/	2014-10-12	35	36	9	13	3	-1
Ashcroft/	2014-10-12	28	32	8	19	5	-4
Survation/Mail on Sunday	2014-10-10	31	31	7	25	2	0
Opinium/Observer	2014-10-10	28	35	9	17	4	-7
YouGov/Sunday Times	2014-10-10	32	34	9	16	5	-2
Populus/	2014-10-09	34	35	9	13	4	-1
YouGov/Sun	2014-10-09	30	35	9	15	5	-5
YouGov/Sun	2014-10-08	33	34	7	14	6	-1
YouGov/Sun	2014-10-07	32	34	8	15	5	-2
YouGov/Sun	2014-10-06	35	33	8	13	4	2
Ashcroft/	2014-10-05	32	30	7	17	7	2
Populus/	2014-10-05	31	37	8	15	3	-6
YouGov/Sunday Times	2014-10-03	36	34	7	13	5	2
Populus/	2014-10-02	33	38	8	13	3	-5
YouGov/Sun	2014-10-02	35	34	6	14	5	1
YouGov/Sun	2014-10-01	31	38	7	15	5	-7
YouGov/Sun	2014-09-30	31	36	7	15	5	-5
YouGov/Sun	2014-09-29	31	36	7	16	4	-5
ComRes/Independent	2014-09-28	29	35	10	15	4	-6
Populus/	2014-09-28	34	36	7	14	5	-2
Ashcroft/	2014-09-28	32	32	8	17	4	0
ComRes/Independent on Sunday (O)	2014-09-26	29	35	7	19	4	-6
YouGov/Sunday Times	2014-09-26	31	36	6	15	6	-5
Opinium/Observer	2014-09-26	32	34	7	17	4	-2
YouGov/Sun	2014-09-25	31	37	7	13	5	-6
Populus/	2014-09-25	33	37	9	13	3	-4
YouGov/Sun	2014-09-24	33	37	7	13	5	-4
YouGov/Sun	2014-09-23	31	37	7	15	5	-6
YouGov/Sun	2014-09-22	33	35	7	14	5	-2
Populus/	2014-09-21	33	37	9	12	4	-4
Ashcroft/	2014-09-21	27	33	9	17	7	-6
YouGov/Sunday Times	2014-09-19	31	36	7	16	5	-5
Populus/	2014-09-18	32	36	9	15	4	-4
YouGov/Sun	2014-09-18	33	35	8	14	5	-2
YouGov/Sun	2014-09-17	33	36	8	13	5	-3
YouGov/Sun	2014-09-16	34	37	7	12	6	-3
YouGov/Sun	2014-09-15	31	35	7	15	6	-4
Populus/	2014-09-14	34	35	9	13	3	-1
Ashcroft/	2014-09-14	33	33	9	14	6	0
ICM/Guardian	2014-09-14	33	35	10	9	7	-2
Survation/Mail on Sunday	2014-09-12	31	35	8	19	3	-4
YouGov/Sunday Times	2014-09-12	32	35	7	15	6	-3
Populus/	2014-09-11	33	37	9	13	2	-4
Opinium/Observer	2014-09-11	29	37	7	19	4	-8
YouGov/Sun	2014-09-11	31	35	7	16	5	-4
YouGov/Sun	2014-09-10	32	38	6	14	5	-6
Ipsos-MORI/Evening Standard	2014-09-09	34	33	7	15	6	1
YouGov/Sun	2014-09-09	30	36	8	16	5	-6
YouGov/Sun	2014-09-08	31	36	8	16	5	-5
Populus/	2014-09-07	34	36	9	12	4	-2
Ashcroft/	2014-09-07	28	35	8	18	6	-7
YouGov/Sunday Times	2014-09-05	33	35	7	15	4	-2
Populus/	2014-09-04	32	38	8	14	4	-6
YouGov/Sun	2014-09-04	32	36	7	16	5	-4
YouGov/Sun	2014-09-03	33	36	7	14	5	-3
YouGov/Sun	2014-09-02	32	35	8	15	5	-3
YouGov/Sun	2014-09-01	34	35	7	14	5	-1
ComRes/Independent	2014-08-31	28	35	9	17	6	-7
Populus/	2014-08-31	32	36	9	15	3	-4
Opinium/Observer	2014-08-29	30	36	7	16	4	-6
YouGov/Sunday Times	2014-08-29	32	36	7	16	4	-4
Populus/	2014-08-28	35	34	8	13	5	1
YouGov/Sun	2014-08-28	33	36	7	13	5	-3
YouGov/Sun	2014-08-27	34	35	7	14	6	-1
YouGov/Sun	2014-08-26	33	37	8	13	5	-4
